Open,High,Low,Close,Volume,Adj Close,Action
543.58,543.79,534.06,536.51,1721100,536.51,BUY
546.68,546.68,542.15,544.40,1285700,544.40,BUY
549.80,549.80,543.48,545.38,1335700,545.38,SELL
550.39,550.46,545.17,547.31,1126300,547.31,BUY
548.49,551.94,546.30,550.29,962900,550.29,BUY
541.46,549.59,541.02,547.49,1129400,547.49,SELL
546.21,546.21,538.67,541.01,1628000,541.01,SELL
545.50,546.89,540.97,542.04,1328500,542.04,BUY
556.80,556.80,544.05,545.92,2026700,545.92,SELL
553.00,555.50,549.30,554.11,1238900,554.11,BUY
555.50,557.90,553.23,555.22,1377200,555.22,SELL
559.35,559.57,554.75,559.08,2029500,559.08,SELL
548.95,552.80,543.51,550.31,1451500,550.31,BUY
550.00,554.19,546.98,549.33,1765700,549.33,SELL
543.00,548.98,541.62,548.90,1267500,548.90,BUY
537.03,544.41,537.03,540.77,1182100,540.77,BUY
544.36,544.88,535.79,539.78,1967700,539.78,SELL
539.32,547.22,535.85,543.98,2342400,543.98,SELL
529.89,539.80,528.80,532.71,2911300,532.71,SELL
525.19,526.79,519.11,526.54,2329900,526.54,BUY
509.45,521.76,508.10,520.84,2600400,520.84,SELL
527.25,530.98,508.53,511.17,5524200,511.17,SELL
519.00,529.43,515.00,524.51,3684300,524.51,BUY
531.01,532.80,518.30,530.03,3709200,530.03,SELL
538.90,547.19,533.17,537.94,2216500,537.94,BUY
544.99,549.50,533.10,533.21,2574600,533.21,SELL
557.72,565.13,544.05,544.49,3073500,544.49,SELL
571.18,571.49,559.06,560.88,2517900,560.88,BUY
565.57,573.88,557.49,572.50,1985400,572.50,BUY
574.40,575.27,563.74,563.74,1906100,563.74,BUY
578.80,581.00,574.44,577.35,1211300,577.35,BUY
573.05,577.22,572.50,575.28,1138600,575.28,BUY
567.31,571.91,563.32,570.08,1175200,570.08,SELL
576.01,577.58,567.01,568.27,1441500,568.27,SELL
576.93,579.85,572.85,577.36,1617300,577.36,SELL
571.75,578.19,571.17,576.36,1278900,576.36,BUY
576.06,579.25,574.66,577.10,1439700,577.10,SELL
587.55,587.98,574.18,575.06,1920700,575.06,SELL
581.46,589.63,580.52,587.99,1723400,587.99,BUY
586.85,586.85,581.00,581.13,1467400,581.13,BUY
593.82,593.95,583.46,587.37,1684900,587.37,SELL
591.50,596.48,589.50,596.08,3726400,596.08,SELL
587.00,589.54,585.00,589.27,1440600,589.27,BUY
580.01,587.52,578.78,584.77,1688200,584.77,SELL
572.76,581.50,572.66,579.95,1476300,579.95,BUY
572.94,574.95,568.21,573.10,1593200,573.10,SELL
581.00,581.64,574.46,575.62,1597300,575.62,SELL
580.36,581.81,576.26,581.35,1217700,581.35,BUY
581.50,583.50,576.94,583.10,974700,583.10,BUY
